;Nr;W0;W1;W2;W3;W4;W5;W6;W7;W8;W9;W10;W11;W12;W13;W14;W15;W16;W17;W18;W19;W20;W21;W22;W23;W24;W25;W26;W27;W28;W29;W30;W31;W32;W33;W34;W35;W36;W37;;;1;2;3;4;;;;1;2;3
0;0;gy;qdll;tjdt;gjvqj;oah;qdlqaldtvonp;wdvl;to;yxsldvn;qovnqviynqy.;lyt;ap;tahn;to;tjy;shoow,;tdkvnb;dp;dn;yxdmsly...;tjvp;shvnqvsly;vp;po;qomslytyle;bynyhdl;tjdt;no;dsslvqdtvon;vp;soppvcly.;lory;vp;dn;yuadtvon;gvtj;tgo;anknognp.;;Alphabet 1;e;i;n;s;;;Alphabet 1;a;n;s
1;250;de;gapp;that;dhugh;oic;gapgipatuors;faup;to;enxpaur;gourgujerge.;pet;is;ticr;to;the;xcoof,;taburv;as;ar;enalxpe...;thus;xcurguxpe;us;so;golxpetepy;verecap;that;ro;axxpugatuor;us;xossumpe.;powe;us;ar;ekiatuor;duth;tdo;irbrodrs.;;Alphabet 2;e;i;s;n;;;Alphabet 2;a;s;n
2;500;we;gapp;that;whigh;ous;gapgupationc;faip;to;edmpain;goingivenge.;pet;uc;tusn;to;the;msoof,;takinj;ac;an;edarmpe...;thic;msingimpe;ic;co;gormpetepy;jenesap;that;no;ammpigation;ic;moccixpe.;pobe;ic;an;eluation;with;two;unknownc.;;Alphabet 3;e;n;i;s;;;Alphabet 3;n;a;s
3;750;we;gapp;that;whigh;ous;gapgupationl;faip;to;edmpain;goingivenge.;pet;ul;tusn;to;the;msoof,;takinb;al;an;edarmpe...;thil;msingimpe;il;lo;gormpetepy;benesap;that;no;ammpigation;il;mollixpe.;poce;il;an;ejuation;with;two;unknownl.;;Alphabet 4;e;n;s;i;;;Alphabet 4;n;s;a
4;1000;we;gapp;that;whigh;ous;gapgupationl;faip;to;edmpain;goingibenge.;pet;ul;tusn;to;the;msoof,;takinc;al;an;edarmpe...;thil;msingimpe;il;lo;gormpetepy;cenesap;that;no;ammpigation;il;mollixpe.;pove;il;an;ejuation;with;two;unknownl.;;Alphabet 5;e;s;i;n;;;Alphabet 5;s;a;n
5;1250;we;gapp;that;whigh;ous;gapgupationl;faip;to;edmpain;goingivenge.;pet;ul;tusn;to;the;msoof,;takinc;al;an;edarmpe...;thil;msingimpe;il;lo;gormpetepy;cenesap;that;no;ammpigation;il;mollixpe.;pobe;il;an;ejuation;with;two;unknownl.;;Alphabet 6;e;s;n;i;;;Alphabet 6;s;n;a
6;1500;we;capp;that;which;oum;capcupationl;faip;to;erspain;coincibence.;pet;ul;tumn;to;the;smoof,;tading;al;an;erakspe...;thil;smincispe;il;lo;cokspetepy;genemap;that;no;asspication;il;sollixpe.;pove;il;an;equation;with;two;undnownl.;;Alphabet 7;i;e;n;s;;;;;;
7;1750;we;camm;that;which;oup;camcumationl;vaim;to;ersmain;coincifence.;met;ul;tupn;to;the;spoov,;tading;al;an;eraksme...;thil;spincisme;il;lo;coksmetemy;genepam;that;no;assmication;il;sollixme.;mobe;il;an;equation;with;two;undnownl.;;Alphabet 8;i;e;s;n;;;;;;
8;2000;we;capp;that;which;oum;capcupationl;baip;to;erspain;coincivence.;pet;ul;tumn;to;the;smoob,;tading;al;an;erakspe...;thil;smincispe;il;lo;cokspetepy;genemap;that;no;asspication;il;sollixpe.;pofe;il;an;equation;with;two;undnownl.;;Alphabet 9;i;n;s;e;;;;;;
9;2250;we;capp;that;which;our;capcupationl;maip;to;evspain;coincikence.;pet;ul;turn;to;the;sroom,;tading;al;an;evabspe...;thil;srincispe;il;lo;cobspetepy;generap;that;no;asspication;il;sollixpe.;pofe;il;an;equation;with;two;undnownl.;;Alphabet 10;i;n;e;s;;;;;;
